decile,bias,obs_mean,n,aridity_tier,seed
1,11.996380235713053,13.775614026340866,11920,Arid,0
2,9.49739637584027,22.672487105354126,11917,Arid,0
3,7.746739593522159,31.576084222371147,11918,Arid,0
4,5.412445693490406,41.527768551809935,11919,Arid,0
5,3.149483050621668,51.853356949251086,11918,Arid,0
6,1.7567708724308264,62.16025405289705,11918,Arid,0
7,-0.3810610339296576,72.79205729540958,11919,Arid,0
8,-2.652968283061387,83.87388115692096,11918,Arid,0
9,-8.174946202556836,97.21647993752751,11918,Arid,0
10,-20.098861382708595,124.52547806466342,11919,Arid,0
1,2.893557614393418,1.3834520395630325,5700,Humid,0
2,1.8822867041230757,3.7628760222561373,5699,Humid,0
3,1.1929523880100747,5.707835864672611,5699,Humid,0
4,0.6633080694085612,7.6617364414076325,5699,Humid,0
5,0.034194128437195805,9.807837122791755,5699,Humid,0
6,-0.8681799524854158,12.592913546253955,5702,Humid,0
7,-2.081255914408261,16.272270758674463,5696,Humid,0
8,-3.513952683229637,20.952836351031532,5699,Humid,0
9,-5.707185080477451,27.99108487644713,5699,Humid,0
10,-11.568297402656864,44.13745127319898,5700,Humid,0
1,10.993243396380283,10.481312686549773,20197,Semi-Arid,0
2,7.94615554696677,18.382158026577546,20197,Semi-Arid,0
3,6.653912898350195,24.811047993811755,20197,Semi-Arid,0
4,4.677036146527307,31.588378982518947,20196,Semi-Arid,0
5,2.7058291689784664,38.88345008857176,20197,Semi-Arid,0
6,0.6764188646299107,46.722269774701424,20197,Semi-Arid,0
7,-1.292657587316049,54.99461708139793,20196,Semi-Arid,0
8,-3.901768098039129,64.5461330110301,20197,Semi-Arid,0
9,-7.007868163660924,77.32447586808425,20197,Semi-Arid,0
10,-18.066669095845256,106.96063469553945,20197,Semi-Arid,0
1,6.198512664422061,4.755533976083988,3474,Sub-Humid,0
2,4.271960086100434,9.435969085355504,3474,Sub-Humid,0
3,3.1246381436858264,12.956634089437426,3473,Sub-Humid,0
4,1.9176523165963213,16.652758208588267,3474,Sub-Humid,0
5,0.6133922895227937,20.795449209987634,3473,Sub-Humid,0
6,-1.442844157485538,25.57660247253925,3474,Sub-Humid,0
7,-2.9482971493173986,31.45069880108316,3473,Sub-Humid,0
8,-4.5216299905914825,39.127013737620004,3474,Sub-Humid,0
9,-6.805748228513549,48.259645097915346,3473,Sub-Humid,0
10,-13.574033668653625,65.4138644633492,3474,Sub-Humid,0
1,11.216957015146047,13.775614026340866,11920,Arid,1
2,8.808264121276176,22.672487105354126,11917,Arid,1
3,6.942425313784938,31.576084222371147,11918,Arid,1
4,4.406986279565319,41.527768551809935,11919,Arid,1
5,2.0817812150280948,51.853356949251086,11918,Arid,1
6,0.9007175837377408,62.16025405289705,11918,Arid,1
7,-0.5914152853997421,72.79205729540958,11919,Arid,1
8,-2.803058473605488,83.87388115692096,11918,Arid,1
9,-7.810784168462237,97.21647993752751,11918,Arid,1
10,-19.549407627687533,124.52547806466342,11919,Arid,1
1,3.0443306842439988,1.3834520395630325,5700,Humid,1
2,2.046651470281416,3.7628760222561373,5699,Humid,1
3,1.3774889222061282,5.707835864672611,5699,Humid,1
4,0.7432099135819956,7.6617364414076325,5699,Humid,1
5,-0.09204361051263303,9.807837122791755,5699,Humid,1
6,-1.211493594547266,12.592913546253955,5702,Humid,1
7,-2.6555254614441024,16.272270758674463,5696,Humid,1
8,-4.479323093752688,20.952836351031532,5699,Humid,1
9,-7.168599261120238,27.99108487644713,5699,Humid,1
10,-12.731508338713526,44.13745127319898,5700,Humid,1
1,10.832279434615133,10.481312686549773,20197,Semi-Arid,1
2,7.436041073822879,18.382158026577546,20197,Semi-Arid,1
3,5.98541780454628,24.811047993811755,20197,Semi-Arid,1
4,3.770289996120453,31.588378982518947,20196,Semi-Arid,1
5,1.568370237042394,38.88345008857176,20197,Semi-Arid,1
6,-0.3557243085882148,46.722269774701424,20197,Semi-Arid,1
7,-1.9305513370283671,54.99461708139793,20196,Semi-Arid,1
8,-4.439214413879509,64.5461330110301,20197,Semi-Arid,1
9,-7.4991708981312355,77.32447586808425,20197,Semi-Arid,1
10,-19.27690456624664,106.96063469553945,20197,Semi-Arid,1
1,6.407683813790732,4.755533976083988,3474,Sub-Humid,1
