units,n,kge,r,alpha,beta,r2,rmse,mae,nrmse,group,aridity_tier,month,seed
fwi,9741,0.6672641401866171,0.750008213317932,0.7952112785563109,1.0792391227028528,0.5438990877736116,14.455192780379274,11.068922801117168,0.675352435567081,Arid|1,Arid,1,0
fwi,9741,0.8094675560251402,0.8521934530000722,0.8802670103907752,1.0109475143401818,0.7249863025298764,17.152199306561965,12.940888971679287,0.5244174839477832,Arid|10,Arid,10,0
fwi,10314,0.6911716608538034,0.7194587708746817,0.878968190486331,1.0449762482483895,0.48355151785801176,17.08750333347547,13.194406126534737,0.7186435014261161,Arid|11,Arid,11,0
fwi,9741,0.6147123557517558,0.760176428715925,0.7186197229168233,1.1084267639262027,0.5542383855917806,15.852988976102754,11.797587243863514,0.6676538132956477,Arid|12,Arid,12,0
fwi,9168,0.6069977814710719,0.7177527631662087,0.773525667172967,1.1532860647250736,0.4526217972015195,16.95946413349782,13.226383034897841,0.7398501218479865,Arid|2,Arid,2,0
fwi,10314,0.6720892506969182,0.8141433091976549,0.7951944367316327,1.1761744341464926,0.5822761302982202,17.583761635471458,14.105470104290072,0.6463156115256536,Arid|3,Arid,3,0
fwi,10314,0.5019933024963241,0.7181955413134657,0.5896901821611008,0.9844188829695547,0.4980459015570895,26.55910920982263,18.59456066591652,0.7084871900344496,Arid|4,Arid,4,0
fwi,9741,0.6841326000972215,0.7985931947002336,0.7570058148900964,1.0127019330441343,0.6343486892290382,16.82219146051323,13.121527433783076,0.6046910870609568,Arid|5,Arid,5,0
fwi,9741,0.7673163452641408,0.8214090742026432,0.850965486748011,1.0059731284786295,0.673433325572178,15.999024476504419,12.528800497411785,0.5714601249674572,Arid|6,Arid,6,0
fwi,10314,0.8332762030572178,0.8926046669150676,0.8770368176414287,1.0338100973504543,0.7898275889504321,12.505367579733885,9.989819437439316,0.4584456467778573,Arid|7,Arid,7,0
fwi,10314,0.8324016711758185,0.8517915944188981,0.9473857280531205,1.0579241463231515,0.6917107740086887,12.52964888321598,9.84497562159046,0.5552379904070968,Arid|8,Arid,8,0
