aridity_tier,lag,mean,q25,q75
Semi-Arid,1,0.017027982,0.014615092,0.019459933
Semi-Arid,2,0.017017903,0.0146237295,0.019431725
Semi-Arid,3,0.017008144,0.014633669,0.019403782
Semi-Arid,4,0.017011875,0.014649319,0.019402668
Semi-Arid,5,0.017009236,0.014660375,0.019387674
Semi-Arid,6,0.017008511,0.014674262,0.019379232
Semi-Arid,7,0.01701222,0.014683687,0.0193769
Semi-Arid,8,0.017016359,0.014694538,0.01937443
Semi-Arid,9,0.017015304,0.014701732,0.019367183
Semi-Arid,10,0.017006926,0.014694403,0.019357752
Semi-Arid,11,0.016996508,0.014687568,0.019342454
Semi-Arid,12,0.01697978,0.014659191,0.019330148
Semi-Arid,13,0.016941749,0.01461564,0.019295502
Semi-Arid,14,0.016962923,0.014641004,0.019316657
Semi-Arid,15,0.016961278,0.014645074,0.019309603
Semi-Arid,16,0.016951522,0.014633992,0.019296007
Semi-Arid,17,0.016934244,0.0146044325,0.019276364
Semi-Arid,18,0.016926648,0.014601707,0.019267691
Semi-Arid,19,0.016916743,0.014600214,0.019252934
Semi-Arid,20,0.016900904,0.014584518,0.01923202
Semi-Arid,21,0.016888076,0.014576726,0.01921531
Semi-Arid,22,0.01688002,0.0145706,0.019203523
Semi-Arid,23,0.016867898,0.01455837,0.019196121
Semi-Arid,24,0.016860548,0.0145603195,0.019177195
Semi-Arid,25,0.016862607,0.014561236,0.019167772
Semi-Arid,26,0.016829297,0.014537691,0.01911407
Semi-Arid,27,0.016808672,0.014518649,0.019084685
Semi-Arid,28,0.01679297,0.014511752,0.01906503
Semi-Arid,29,0.01677761,0.014504096,0.019037455
Semi-Arid,30,0.016759817,0.01449147,0.019004589
Semi-Arid,31,0.016752563,0.014486883,0.01899264
Semi-Arid,32,0.016728738,0.01446712,0.018965395
Semi-Arid,33,0.016696574,0.014433664,0.018937774
Semi-Arid,34,0.016659461,0.014394542,0.018907946
Semi-Arid,35,0.016600654,0.014341779,0.018842362
Semi-Arid,36,0.01656333,0.014306612,0.018802479
Semi-Arid,37,0.016508816,0.014275687,0.018728161
Semi-Arid,38,0.016473979,0.014236448,0.018697392
Semi-Arid,39,0.016427258,0.014206137,0.018641893
Semi-Arid,40,0.016393136,0.014185748,0.018592013
Semi-Arid,41,0.01634584,0.014157571,0.018525012
Semi-Arid,42,0.016294733,0.014131557,0.01845699
Semi-Arid,43,0.016256785,0.014110694,0.018405799
Semi-Arid,44,0.01622837,0.014099184,0.018369023
Semi-Arid,45,0.016190875,0.014069157,0.01832485
Semi-Arid,46,0.016171724,0.014038724,0.018303521
Semi-Arid,47,0.016156174,0.014008661,0.01828648
Semi-Arid,48,0.016142331,0.013997306,0.01827022
Semi-Arid,49,0.016111083,0.013954534,0.018261572
Semi-Arid,50,0.016084373,0.013909487,0.018256383
Semi-Arid,51,0.01607134,0.013894241,0.018270433
Semi-Arid,52,0.01605858,0.01385993,0.018269962
Semi-Arid,53,0.016052125,0.013826302,0.018279694
Semi-Arid,54,0.016053218,0.0138143245,0.018296054
Semi-Arid,55,0.016067894,0.01381037,0.018325487
Semi-Arid,56,0.01610254,0.0138498405,0.018353634
Semi-Arid,57,0.016150711,0.013940649,0.018376045
Semi-Arid,58,0.016283985,0.014188912,0.018401133
Semi-Arid,59,0.016880853,0.015130338,0.01862699
Semi-Arid,60,0.018557327,0.017480649,0.01955846
Sub-Humid,1,0.016803155,0.013722295,0.019821173
Sub-Humid,2,0.016798332,0.013731958,0.01980734
Sub-Humid,3,0.016792867,0.013749176,0.019765832
Sub-Humid,4,0.016786506,0.013762668,0.019741207
Sub-Humid,5,0.016768543,0.013778841,0.019690942
Sub-Humid,6,0.016754173,0.013786843,0.019664144
Sub-Humid,7,0.0167383,0.0137898745,0.01963159
Sub-Humid,8,0.016723897,0.013791357,0.01958978
Sub-Humid,9,0.016712174,0.013782719,0.019560112
Sub-Humid,10,0.016696293,0.013769354,0.019529622
Sub-Humid,11,0.016661152,0.013745259,0.019465493
Sub-Humid,12,0.016646555,0.013727277,0.019446317
Sub-Humid,13,0.01661693,0.013706912,0.019397486
Sub-Humid,14,0.016642556,0.01373021,0.019420316
Sub-Humid,15,0.016636234,0.01370308,0.019412754
Sub-Humid,16,0.016633097,0.013690043,0.01941083
Sub-Humid,17,0.016625447,0.013680911,0.019408558
Sub-Humid,18,0.016629534,0.013694273,0.019403536
Sub-Humid,19,0.016622657,0.013709674,0.01938348
Sub-Humid,20,0.016624002,0.013709077,0.01937607
Sub-Humid,21,0.016642028,0.013734911,0.019404788
Sub-Humid,22,0.016653238,0.013763398,0.01940675
Sub-Humid,23,0.016648151,0.013756137,0.019402292
Sub-Humid,24,0.016641986,0.013772144,0.019385412
Sub-Humid,25,0.016637385,0.013787426,0.019358987
Sub-Humid,26,0.016631467,0.013768306,0.01934383
Sub-Humid,27,0.016642945,0.01379922,0.019344706
Sub-Humid,28,0.016654521,0.013838476,0.019340372
Sub-Humid,29,0.016681025,0.013896253,0.019321118
Sub-Humid,30,0.016707169,0.013961214,0.019302052
Sub-Humid,31,0.016732605,0.014021764,0.019314095
Sub-Humid,32,0.016743088,0.014046853,0.019323459
Sub-Humid,33,0.01673876,0.014044216,0.019335426
Sub-Humid,34,0.016737795,0.014043875,0.01935184
Sub-Humid,35,0.016697004,0.014008547,0.019318286
Sub-Humid,36,0.01667108,0.013996414,0.019264042
Sub-Humid,37,0.016632903,0.013980668,0.019208737
Sub-Humid,38,0.016624356,0.013943274,0.019232549
Sub-Humid,39,0.016595913,0.013905294,0.019201223
Sub-Humid,40,0.016574953,0.013865097,0.019187318
Sub-Humid,41,0.016559321,0.013883208,0.019160267
Sub-Humid,42,0.016543474,0.013893131,0.019131817
Sub-Humid,43,0.01655248,0.01391699,0.019130755
Sub-Humid,44,0.016563319,0.013958981,0.019112092
Sub-Humid,45,0.016555656,0.013967415,0.019106543
Sub-Humid,46,0.016553069,0.013951139,0.019131348
Sub-Humid,47,0.016548898,0.013944001,0.019140854
Sub-Humid,48,0.016542135,0.013962949,0.019120073
Sub-Humid,49,0.01651113,0.013946847,0.019106314
Sub-Humid,50,0.016479198,0.0139211295,0.019072518
Sub-Humid,51,0.016446494,0.013908371,0.019066745
Sub-Humid,52,0.01638538,0.013857614,0.018996857
Sub-Humid,53,0.016308822,0.013784712,0.01887703
Sub-Humid,54,0.016222978,0.013710181,0.01878969
Sub-Humid,55,0.016162444,0.013617793,0.018733116
Sub-Humid,56,0.016155126,0.013607506,0.01869744
Sub-Humid,57,0.016214466,0.013701188,0.018650975
Sub-Humid,58,0.016464176,0.014086854,0.018726122
Sub-Humid,59,0.017374381,0.015418486,0.019213531
Sub-Humid,60,0.019655833,0.01828207,0.02094412
Humid,1,0.016556738,0.012637617,0.020330299
Humid,2,0.01653749,0.012671534,0.020268958
Humid,3,0.016513223,0.012698395,0.020196252
Humid,4,0.016491534,0.012725175,0.02013471
Humid,5,0.016453872,0.012748622,0.020060826
Humid,6,0.016416853,0.012776135,0.019987796
Humid,7,0.01638742,0.0127986055,0.019910235
Humid,8,0.016362876,0.012826475,0.01985191
Humid,9,0.016340803,0.012828373,0.019800786
Humid,10,0.016305054,0.012809379,0.019741597
Humid,11,0.01625736,0.012781079,0.019675247
Humid,12,0.016235245,0.012783642,0.019632235
Humid,13,0.016210571,0.012795001,0.019574685
Humid,14,0.01621168,0.012797499,0.019581808
Humid,15,0.016188785,0.012774266,0.0195643
Humid,16,0.016181786,0.012747221,0.019574875
Humid,17,0.016170043,0.012738595,0.019564457
Humid,18,0.016174544,0.012749203,0.01955404
Humid,19,0.016160782,0.012764707,0.019514896
Humid,20,0.016172385,0.012782103,0.019520072
Humid,21,0.016203517,0.012794323,0.019577976
Humid,22,0.016225975,0.012793609,0.019602014
Humid,23,0.016242906,0.012801085,0.019619865
Humid,24,0.016266508,0.012828478,0.019639332
Humid,25,0.01630058,0.012861699,0.019685261
Humid,26,0.016335852,0.012872502,0.019737639
Humid,27,0.016380211,0.012933599,0.019768994
Humid,28,0.01643398,0.013029765,0.019808933
Humid,29,0.016495086,0.013145621,0.019865783
Humid,30,0.016549887,0.0132322665,0.019904805
Humid,31,0.016611343,0.013333447,0.01996686
Humid,32,0.016655128,0.013388466,0.020022454
Humid,33,0.016680485,0.013424518,0.020056622
Humid,34,0.016714972,0.01344392,0.02010459
Humid,35,0.01670699,0.013432358,0.02007873
Humid,36,0.016720638,0.013423167,0.020100277
Humid,37,0.016720163,0.013393949,0.020110201
Humid,38,0.016735502,0.013356954,0.020154133
Humid,39,0.01672848,0.013344357,0.020148514
Humid,40,0.016737657,0.013366837,0.020146387
Humid,41,0.016752416,0.013432156,0.020143444
Humid,42,0.01675996,0.013477625,0.020132769
Humid,43,0.016782172,0.013568072,0.020115845
Humid,44,0.016813321,0.013655653,0.020109959
Humid,45,0.016841087,0.0137297455,0.020127539
Humid,46,0.016877968,0.013805997,0.020160202
Humid,47,0.016916458,0.013877583,0.020194791
Humid,48,0.016957493,0.013954745,0.02023709
Humid,49,0.01696966,0.013961707,0.02026582
Humid,50,0.016966222,0.014001704,0.020268494
Humid,51,0.016945826,0.013979315,0.020239996
Humid,52,0.016896952,0.013937709,0.020183474
Humid,53,0.01683835,0.013845837,0.020113215
Humid,54,0.016776657,0.01380198,0.020041782
Humid,55,0.016737672,0.013774563,0.019982776
Humid,56,0.01676676,0.013834101,0.019926231
Humid,57,0.016906437,0.014103831,0.019914186
Humid,58,0.017292779,0.014732441,0.02000464
Humid,59,0.01843892,0.01634854,0.020505143
Humid,60,0.020988196,0.019556072,0.022366071
