lag,month,attn
1,1,0.015862241
1,2,0.0152971465
1,3,0.01459979
1,4,0.01727408
1,5,0.017824816
1,6,0.017579269
1,7,0.017993392
1,8,0.017330902
1,9,0.018018903
1,10,0.016288439
1,11,0.017503072
1,12,0.017243996
2,1,0.016362809
2,2,0.0155726615
2,3,0.01454224
2,4,0.016545992
2,5,0.01798595
2,6,0.017105525
2,7,0.0183939
2,8,0.017191442
2,9,0.018237287
2,10,0.016531367
2,11,0.016834378
2,12,0.017461544
3,1,0.016623054
3,2,0.015617605
3,3,0.014772983
3,4,0.015861738
3,5,0.0180537
3,6,0.017171001
3,7,0.018358668
3,8,0.017031834
3,9,0.018334242
3,10,0.016879587
3,11,0.016546099
3,12,0.01742418
4,1,0.017021706
4,2,0.015605845
4,3,0.014941608
4,4,0.015591619
4,5,0.017765425
4,6,0.017401446
4,7,0.017863011
4,8,0.017264869
4,9,0.017902875
4,10,0.017504612
4,11,0.016393555
4,12,0.017419973
5,1,0.017379174
5,2,0.015866233
5,3,0.015193677
5,4,0.015118625
5,5,0.017340302
5,6,0.017727068
5,7,0.017213624
5,8,0.017853694
5,9,0.01748086
5,10,0.017601721
5,11,0.01668672
5,12,0.017090311
6,1,0.017649077
6,2,0.016255943
6,3,0.015500415
6,4,0.014735589
6,5,0.016691074
6,6,0.017938083
6,7,0.017006632
6,8,0.0182303
6,9,0.017155215
6,10,0.017930025
6,11,0.016625216
6,12,0.016740909
7,1,0.017743789
7,2,0.016599692
7,3,0.015739467
7,4,0.014796659
7,5,0.01611801
7,6,0.018005699
7,7,0.016812282
7,8,0.018250816
7,9,0.016942073
7,10,0.018241752
7,11,0.016803827
7,12,0.016344648
8,1,0.01778678
8,2,0.016962139
8,3,0.015680255
8,4,0.014902514
8,5,0.01577286
8,6,0.01764884
8,7,0.017245874
8,8,0.017836137
8,9,0.017182557
8,10,0.01811176
8,11,0.017029528
8,12,0.016200405
9,1,0.01746802
9,2,0.01742187
9,3,0.015823416
9,4,0.015158248
9,5,0.015387295
9,6,0.017194912
9,7,0.017552175
9,8,0.017499043
9,9,0.01755465
9,10,0.017327383
9,11,0.017754108
9,12,0.016102877
10,1,0.017131753
10,2,0.017763823
10,3,0.016302807
10,4,0.01549609
10,5,0.014876964
10,6,0.016527772
10,7,0.017902011
10,8,0.017076276
10,9,0.018008996
10,10,0.017058507
10,11,0.017739149
10,12,0.016159154
11,1,0.016476223
11,2,0.01784148
11,3,0.016765911
11,4,0.015715808
11,5,0.01477234
11,6,0.015971813
11,7,0.01781527
11,8,0.01677465
11,9,0.01832499
11,10,0.017003503
11,11,0.017936517
11,12,0.01636941
12,1,0.015851535
12,2,0.017805258
12,3,0.017056908
12,4,0.015770266
12,5,0.014857085
12,6,0.0155281555
12,7,0.01770569
12,8,0.0169536
12,9,0.018030524
12,10,0.017176934
12,11,0.017986739
12,12,0.016799571
13,1,0.015418864
13,2,0.017603956
13,3,0.017622024
13,4,0.015748998
13,5,0.015038474
13,6,0.015245157
13,7,0.017535383
13,8,0.017117731
13,9,0.01756929
13,10,0.017361505
13,11,0.017609755
13,12,0.017209115
14,1,0.0154673485
14,2,0.017330993
14,3,0.01784502
14,4,0.016217507
14,5,0.015455526
14,6,0.014650052
14,7,0.016951023
14,8,0.017601
14,9,0.017017368
14,10,0.017821934
14,11,0.017177746
14,12,0.017736781
15,1,0.015866172
15,2,0.016618492
15,3,0.01790595
15,4,0.016667739
15,5,0.015795704
15,6,0.014538289
15,7,0.016242027
