lag,mean_attention,mean_abs_eg
1,0.016802492,0.0519571
2,0.016832579,0.029832412
3,0.016846796,0.014506916
4,0.016744023,0.0080586355
5,0.016714439,0.0058465977
6,0.01677854,0.0051120976
7,0.016791906,0.0049263514
8,0.01673085,0.005075098
9,0.01667477,0.005086857
10,0.016651401,0.005129491
11,0.016649462,0.0052814097
12,0.016636312,0.0050411304
13,0.016629454,0.0051383157
14,0.016637862,0.005052061
15,0.016673062,0.0048464295
16,0.01658758,0.0049174675
17,0.016624648,0.0048073274
18,0.016594846,0.0048870943
19,0.01663552,0.0048755296
20,0.0166194,0.0049324236
21,0.016621495,0.0049097342
22,0.016612565,0.004914367
23,0.01663752,0.0050506582
24,0.016639195,0.0049870177
25,0.016638657,0.004976411
26,0.016656693,0.0052449005
27,0.016687179,0.0050619915
28,0.016656563,0.0051992675
29,0.016683957,0.005213941
30,0.016695164,0.005260083
31,0.01664201,0.0052296715
32,0.01663527,0.005102257
33,0.016659401,0.0051031243
34,0.016611502,0.005123979
35,0.01658563,0.0051476653
36,0.016560936,0.005069192
37,0.016519492,0.0050937743
38,0.016526617,0.0049841553
39,0.016535701,0.00496984
40,0.016515717,0.004957357
41,0.016484544,0.0048138243
42,0.016435955,0.0048778607
43,0.016537534,0.0048202826
44,0.016533654,0.004700178
45,0.016509503,0.004689375
46,0.016551344,0.0046611656
47,0.016561206,0.0045932415
48,0.016584465,0.0044651763
49,0.016461803,0.0046206
50,0.01650272,0.004641558
51,0.01649455,0.0046659084
52,0.01642808,0.004601498
53,0.016428955,0.0046596364
54,0.016314032,0.004730855
55,0.016343923,0.0047191014
56,0.016358694,0.004595653
57,0.016381342,0.004639768
58,0.016644204,0.0049411897
59,0.017555226,0.0052466686
60,0.019711303,0.005602405
